mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tfidf__ngram_range,param_tfidf__min_df,param_tfidf__max_df,param_clf__penalty,param_clf__class_weight,param_clf__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.6927867889404298,0.13128316732437642,0.5340449333190918,0.05541713952109954,"(1, 1)",10,0.95,l2,,18.73817422860385,"{'tfidf__ngram_range': (1, 1), 'tfidf__min_df': 10, 'tfidf__max_df': 0.95, 'clf__penalty': 'l2', 'clf__class_weight': None, 'clf__C': np.float64(18.73817422860385)}",0.9988794714867777,0.9989012353675898,0.9991768444375995,0.998619440052756,0.9992915600021841,0.9989737102693814,0.0002374585811734358,1
2.7143747806549072,0.27571883398639135,0.587166166305542,0.16148150974208084,"(1, 1)",3,0.98,l2,balanced,8.111308307896872,"{'tfidf__ngram_range': (1, 1), 'tfidf__min_df': 3, 'tfidf__max_df': 0.98, 'clf__penalty': 'l2', 'clf__class_weight': 'balanced', 'clf__C': np.float64(8.111308307896872)}",0.9989156095709991,0.9989619138334997,0.9990763032811084,0.9985737352963051,0.999339721702887,0.9989734567369599,0.0002481871069407057,2
4.894182395935059,0.33463866046871527,0.921317720413208,0.07338884230423076,"(1, 1)",10,0.9,l2,balanced,43.287612810830616,"{'tfidf__ngram_range': (1, 1), 'tfidf__min_df': 10, 'tfidf__max_df': 0.9, 'clf__penalty': 'l2', 'clf__class_weight': 'balanced', 'clf__C': np.float64(43.287612810830616)}",0.9987585132500468,0.9988159593148342,0.9991895731333009,0.9985979177228892,0.9992242438200761,0.9989172414482294,0.0002473197751987977,3
3.119377946853638,0.26576786826623666,0.5808179378509521,0.07490536395461979,"(1, 1)",5,0.98,l2,balanced,43.287612810830616,"{'tfidf__ngram_range': (1, 1), 'tfidf__min_df': 5, 'tfidf__max_df': 0.98, 'clf__penalty': 'l2', 'clf__class_weight': 'balanced', 'clf__C': np.float64(43.287612810830616)}",0.9987607408119861,0.998806125437317,0.9991778391540703,0.9985798415340802,0.9992278947304961,0.9989104883335898,0.00025094482356865686,4
2.4985790729522703,0.06898105409443633,0.5215094566345215,0.04344048401462881,"(1, 1)",10,0.95,l2,balanced,3.511191734215131,"{'tfidf__ngram_range': (1, 1), 'tfidf__min_df': 10, 'tfidf__max_df': 0.95, 'clf__penalty': 'l2', 'clf__class_weight': 'balanced', 'clf__C': np.float64(3.511191734215131)}",0.9988148220797158,0.9989637549177685,0.9988595819256483,0.9984308283362525,0.999317904247645,0.9988773783014059,0.00028466151563034405,5
2.532792806625366,0.03374150569241937,0.5103131771087647,0.022646301166590478,"(1, 1)",10,0.98,l2,balanced,3.511191734215131,"{'tfidf__ngram_range': (1, 1), 'tfidf__min_df': 10, 'tfidf__max_df': 0.98, 'clf__penalty': 'l2', 'clf__class_weight': 'balanced', 'clf__C': np.float64(3.511191734215131)}",0.9988148220797158,0.9989637549177685,0.9988595819256483,0.9984308283362525,0.999317904247645,0.9988773783014059,0.00028466151563034405,5
8.371976137161255,1.0967197682407137,0.9481093883514404,0.19939341300174734,"(1, 2)",3,0.9,l2,,18.73817422860385,"{'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 3, 'tfidf__max_df': 0.9, 'clf__penalty': 'l2', 'clf__class_weight': None, 'clf__C': np.float64(18.73817422860385)}",0.9990547706405981,0.9988138920091847,0.9990476766398231,0.9982506339737751,0.9991612596913156,0.9988656465909393,0.00032778316185363363,7
7.572158145904541,0.2418309640796846,0.8445916652679444,0.04832557728560352,"(1, 2)",10,0.95,l2,,18.73817422860385,"{'tfidf__ngram_range': (1, 2), 'tfidf__min_df': 10, 'tfidf__max_df': 0.95, 'clf__penalty': 'l2', 'clf__class_weight': None, 'clf__C': np.float64(18.73817422860385)}",0.999049426362826,0.9988118677664443,0.9990441806024046,0.9982497192508102,0.9991628872175476,0.9988636162400064,0.00032748722923778235,8
4.380488777160645,1.6544878702751518,0.7544092178344727,0.3236864434392378,"(1, 1)",10,0.95,l2,balanced,100.0,"{'tfidf__ngram_range': (1, 1), 'tfidf__min_df': 10, 'tfidf__max_df': 0.95, 'clf__penalty': 'l2', 'clf__class_weight': 'balanced', 'clf__C': np.float64(100.0)}",0.9986244542748136,0.9987253757543901,0.999162119660955,0.9985493912940755,0.9991428939550858,0.998840846987864,0.0002605971351899239,9
2.6639733791351317,0.07600308342097802,0.495281982421875,0.03095225499393884,"(1, 1)",3,0.98,l2,balanced,100.0,"{'tfidf__ngram_range': (1, 1), 'tfidf__min_df': 3, 'tfidf__max_df': 0.98, 'clf__penalty': 'l2', 'clf__class_weight': 'balanced', 'clf__C': np.float64(100.0)}",0.9986292665993861,0.9987064393767267,0.9991546940936823,0.9985379196207647,0.9991471556054715,0.9988350950592062,0.0002633462390437993,10
